idx	x_ang	y_ang	z_ang	shell	V_R	V_TS	Dv
772	68.3382	27.1694	51.9447	7.0	-0.09645176	-0.09458569	0.00186607
773	52.0248	38.2625	62.2549	6.0	-0.10285470	-0.10396692	-0.00111222
774	67.2148	28.9731	57.8999	5.0	-0.11724366	-0.11623888	0.00100478
775	64.3023	35.4393	63.5809	6.0	-0.10844978	-0.10964075	-0.00119098
776	55.1237	35.5917	51.1311	2.0	-0.15052435	-0.15071671	-0.00019236
777	55.7534	36.2541	60.3288	2.0	-0.18675094	-0.18978824	-0.00303731
778	57.7018	38.9614	47.6400	6.0	-0.10543557	-0.10513443	0.00030114
779	51.9265	41.3988	61.2074	7.0	-0.09381232	-0.09452678	-0.00071446
780	57.0838	31.7719	65.0378	6.0	-0.10294467	-0.10515198	-0.00220731
781	63.5104	38.6329	47.6019	7.0	-0.10151033	-0.10074028	0.00077006
782	69.4028	36.7195	50.6137	8.0	-0.09276095	-0.09183990	0.00092104
783	47.9202	39.0933	57.7174	8.0	-0.08492183	-0.08552820	-0.00060637
784	59.0292	31.0847	60.1065	2.0	-0.17361249	-0.18224083	-0.00862834
785	61.3443	31.9055	66.7157	8.0	-0.08995019	-0.09123470	-0.00128451
786	62.0738	40.9035	49.2990	7.0	-0.10453346	-0.10425604	0.00027742
787	60.3388	27.5481	63.7262	7.0	-0.09790584	-0.09928234	-0.00137649
788	68.3500	24.8644	54.6863	8.0	-0.08727273	-0.08612002	0.00115271
789	67.3173	31.3526	59.0136	5.0	-0.12043405	-0.12004394	0.00039011
790	69.9669	29.6828	56.7826	7.0	-0.09661236	-0.09566144	0.00095092
791	61.9221	25.9933	46.0664	8.0	-0.08622773	-0.08464220	0.00158552
792	55.8343	26.0910	52.7937	5.0	-0.11179279	-0.11124801	0.00054478
793	58.6243	28.7513	46.0857	7.0	-0.09802136	-0.09638330	0.00163806
794	61.9623	41.1282	51.2039	6.0	-0.11587757	-0.11582675	0.00005081
795	66.7983	33.2817	49.6853	5.0	-0.11776628	-0.11531255	0.00245373
796	68.2795	35.4294	54.8145	6.0	-0.11781236	-0.11686599	0.00094637
797	65.1649	38.3443	50.9536	6.0	-0.11879403	-0.11805352	0.00074052
798	55.5241	32.8445	48.4392	4.0	-0.12272093	-0.12174435	0.00097658
799	60.0545	34.8818	43.9720	8.0	-0.08917922	-0.08819428	0.00098494
800	65.6234	37.3150	46.5118	8.0	-0.09146466	-0.09049126	0.00097339
801	56.3841	38.9094	58.6748	2.0	-0.19726678	-0.19752035	-0.00025357
802	54.1166	39.8891	49.6801	6.0	-0.10425889	-0.10448796	-0.00022908
803	61.3912	44.4250	59.4172	7.0	-0.09619758	-0.09665580	-0.00045822
804	49.4412	40.3998	60.9038	8.0	-0.08467965	-0.08535302	-0.00067337
805	56.5122	41.0271	52.1637	5.0	-0.12648994	-0.12694767	-0.00045772
806	57.5649	29.7436	64.2225	6.0	-0.10325470	-0.10545606	-0.00220136
807	70.1665	35.3962	51.0326	8.0	-0.09163324	-0.09060220	0.00103105
808	66.7611	32.8239	62.7669	7.0	-0.10083471	-0.10142393	-0.00058921
809	63.5684	43.3160	61.6532	8.0	-0.08998156	-0.09049454	-0.00051297
810	56.2410	25.3246	60.3276	6.0	-0.09625435	-0.09729318	-0.00103883
811	58.2305	44.1945	55.2482	6.0	-0.10665344	-0.10701665	-0.00036321
812	63.6528	26.4279	62.0184	7.0	-0.09747516	-0.09796810	-0.00049294
813	65.8457	30.0662	47.5372	6.0	-0.10223389	-0.09981876	0.00241513
814	59.4123	45.5433	60.3358	8.0	-0.08766440	-0.08810241	-0.00043801
815	58.1984	41.6752	62.2829	6.0	-0.10870112	-0.10952828	-0.00082716
816	50.2190	32.4177	46.5154	8.0	-0.07904591	-0.07896323	0.00008268
817	49.9550	33.1619	60.1127	6.0	-0.09901880	-0.10023085	-0.00121205
818	66.7039	29.3156	62.1201	7.0	-0.09787851	-0.09815847	-0.00027996
819	46.9020	34.1267	58.9394	8.0	-0.08090474	-0.08159788	-0.00069315
820	67.6533	33.8856	51.9527	5.0	-0.12285250	-0.12075441	0.00209809
821	64.2667	33.7053	44.3746	8.0	-0.08755148	-0.08624155	0.00130993
822	60.0676	40.9765	47.1468	8.0	-0.09305343	-0.09276067	0.00029277
823	54.9255	28.9390	54.8642	2.0	-0.13671191	-0.13876124	-0.00204933
824	60.8453	30.8560	48.0242	4.0	-0.13259451	-0.12899080	0.00360371
825	47.0965	34.0615	50.4266	8.0	-0.07732360	-0.07760357	-0.00027996
826	52.0164	25.4221	51.3273	7.0	-0.08430825	-0.08423944	0.00006880
