grid_idx	min_dist	dV	q
553	8.251	+0.001742	-1.0000
554	8.037	+0.001756	-1.0000
555	7.879	+0.001730	-1.0000
570	8.770	+0.001703	-1.0000
571	8.453	+0.001783	-1.0000
572	8.185	+0.001840	-1.0000
573	7.969	+0.001864	-1.0000
574	7.810	+0.001847	-1.0000
575	7.711	+0.001783	-1.0000
589	8.763	+0.001754	-1.0000
590	8.447	+0.001841	-1.0000
591	8.178	+0.001904	-1.0000
592	7.962	+0.001936	-1.0000
593	7.803	+0.001927	-1.0000
594	7.704	+0.001870	-1.0000
595	7.595	+0.001763	-1.0000
608	8.813	+0.001777	-1.0000
609	8.498	+0.001866	-1.0000
610	8.231	+0.001934	-1.0000
611	8.016	+0.001970	-1.0000
612	7.858	+0.001966	-1.0000
613	7.760	+0.001916	-1.0000
614	7.629	+0.001818	-1.0000
626	8.917	+0.001772	-1.0000
627	8.606	+0.001860	-1.0000
628	8.342	+0.001928	-1.0000
629	8.130	+0.001966	-1.0000
630	7.975	+0.001966	-1.0000
631	7.878	+0.001922	-1.0000
632	7.728	+0.001831	-1.0000
644	8.769	+0.001826	-1.0000
645	8.510	+0.001890	-1.0000
646	8.303	+0.001927	-1.0000
647	8.150	+0.001929	-1.0000
648	8.056	+0.001890	-1.0000
649	7.887	+0.001807	-1.0000
660	8.983	+0.001767	-1.0000
661	8.731	+0.001826	-1.0000
662	8.529	+0.001859	-1.0000
663	8.380	+0.001861	-1.0000
664	8.289	+0.001826	-1.0000
665	8.104	+0.001752	-1.0000
675	8.805	+0.001770	-1.0000
676	8.661	+0.001771	-1.0000
677	8.573	+0.001738	-1.0000
912	7.935	+0.001720	-1.0000
913	7.712	+0.001724	-1.0000
931	8.357	+0.001753	-1.0000
932	8.024	+0.001842	-1.0000
933	7.741	+0.001904	-1.0000
934	7.512	+0.001927	-1.0000
935	7.343	+0.001899	-1.0000
936	7.217	+0.001812	-1.0000
951	8.613	+0.001754	-1.0000
952	8.232	+0.001875	-1.0000
953	7.894	+0.001982	-1.0000
954	7.606	+0.002061	-1.0000
955	7.373	+0.002101	-1.0000
956	7.200	+0.002087	-1.0000
957	7.094	+0.002011	-1.0000
958	6.930	+0.001868	-1.0000
973	8.550	+0.001835	-1.0000
974	8.165	+0.001968	-1.0000
975	7.824	+0.002088	-1.0000
976	7.533	+0.002181	-1.0000
977	7.298	+0.002235	-1.0000
978	7.124	+0.002234	-1.0000
979	7.016	+0.002169	-1.0000
980	6.962	+0.002034	-1.0000
981	6.770	+0.001832	-1.0000
994	8.966	+0.001741	-1.0000
995	8.543	+0.001886	-1.0000
996	8.158	+0.002027	-1.0000
997	7.817	+0.002155	-1.0000
998	7.526	+0.002258	-1.0000
999	7.290	+0.002321	-1.0000
1000	7.116	+0.002330	-1.0000
1001	7.008	+0.002275	-1.0000
1002	6.929	+0.002150	-1.0000
1003	6.736	+0.001957	-1.0000
1004	6.612	+0.001706	-1.0000
1016	8.594	+0.001906	-1.0000
1017	8.211	+0.002049	-1.0000
1018	7.872	+0.002180	-1.0000
1019	7.583	+0.002286	-1.0000
1020	7.350	+0.002354	-1.0000
1021	7.177	+0.002371	-1.0000
1022	7.070	+0.002324	-1.0000
1023	6.967	+0.002210	-1.0000
1024	6.775	+0.002029	-1.0000
1025	6.652	+0.001791	-1.0000
1036	8.701	+0.001896	-1.0000
1037	8.323	+0.002035	-1.0000
1038	7.989	+0.002163	-1.0000
1039	7.704	+0.002267	-1.0000
1040	7.474	+0.002336	-1.0000
1041	7.305	+0.002356	-1.0000
1042	7.199	+0.002317	-1.0000
1043	7.074	+0.002214	-1.0000
1044	6.885	+0.002047	-1.0000
1045	6.764	+0.001827	-1.0000
