grid_idx	min_dist	dV	q
52	8.796	+0.000872	-1.0000
62	8.788	+0.000984	-1.0000
63	8.562	+0.000873	-1.0000
72	8.835	+0.001084	-1.0000
73	8.610	+0.000974	-1.0000
74	8.438	+0.000843	-1.0000
82	8.937	+0.001169	-1.0000
83	8.715	+0.001061	-1.0000
84	8.545	+0.000932	-1.0000
92	8.943	+0.001234	-1.0000
93	8.794	+0.001130	-1.0000
94	8.699	+0.001003	-1.0000
95	8.594	+0.000860	-1.0000
101	8.972	+0.001277	-1.0000
102	8.824	+0.001178	-1.0000
103	8.729	+0.001056	-1.0000
104	8.691	+0.000917	-1.0000
109	8.909	+0.001204	-1.0000
110	8.815	+0.001089	-1.0000
111	8.777	+0.000956	-1.0000
112	8.794	+0.000813	-1.0000
115	8.955	+0.001102	-1.0000
116	8.917	+0.000977	-1.0000
117	8.935	+0.000841	-1.0000
194	8.966	+0.000908	-1.0000
195	8.631	+0.000826	-1.0000
208	8.847	+0.001057	-1.0000
209	8.509	+0.000977	-1.0000
210	8.216	+0.000869	-1.0000
222	8.997	+0.001247	-1.0000
223	8.784	+0.001201	-1.0000
224	8.442	+0.001125	-1.0000
225	8.147	+0.001018	-1.0000
226	7.903	+0.000883	-1.0000
237	8.825	+0.001373	-1.0000
238	8.682	+0.001335	-1.0000
239	8.434	+0.001263	-1.0000
240	8.138	+0.001158	-1.0000
241	7.894	+0.001023	-1.0000
242	7.705	+0.000862	-1.0000
252	8.905	+0.001484	-1.0000
253	8.707	+0.001483	-1.0000
254	8.562	+0.001451	-1.0000
255	8.472	+0.001385	-1.0000
256	8.189	+0.001284	-1.0000
257	7.946	+0.001150	-1.0000
258	7.759	+0.000988	-1.0000
259	7.632	+0.000806	-1.0000
268	8.844	+0.001564	-1.0000
269	8.644	+0.001571	-1.0000
270	8.498	+0.001545	-1.0000
271	8.407	+0.001485	-1.0000
272	8.294	+0.001388	-1.0000
273	8.060	+0.001257	-1.0000
274	7.875	+0.001097	-1.0000
275	7.750	+0.000915	-1.0000
284	8.837	+0.001620	-1.0000
285	8.638	+0.001632	-1.0000
286	8.491	+0.001612	-1.0000
287	8.401	+0.001557	-1.0000
288	8.267	+0.001466	-1.0000
289	8.106	+0.001340	-1.0000
290	8.003	+0.001183	-1.0000
291	7.928	+0.001005	-1.0000
292	7.866	+0.000813	-1.0000
299	8.886	+0.001648	-1.0000
300	8.688	+0.001664	-1.0000
301	8.542	+0.001649	-1.0000
302	8.452	+0.001600	-1.0000
303	8.298	+0.001515	-1.0000
304	8.138	+0.001395	-1.0000
305	8.036	+0.001245	-1.0000
306	7.993	+0.001073	-1.0000
307	8.013	+0.000886	-1.0000
314	8.990	+0.001650	-1.0000
315	8.793	+0.001668	-1.0000
316	8.650	+0.001657	-1.0000
317	8.561	+0.001613	-1.0000
318	8.389	+0.001534	-1.0000
319	8.230	+0.001421	-1.0000
