grid_idx	min_dist	dV	q
320	8.129	+0.001280	-1.0000
321	8.087	+0.001116	-1.0000
322	8.106	+0.000938	-1.0000
328	8.953	+0.001646	-1.0000
329	8.812	+0.001637	-1.0000
330	8.724	+0.001597	-1.0000
331	8.535	+0.001524	-1.0000
332	8.380	+0.001420	-1.0000
333	8.280	+0.001289	-1.0000
334	8.239	+0.001136	-1.0000
335	8.258	+0.000969	-1.0000
340	8.940	+0.001556	-1.0000
341	8.736	+0.001490	-1.0000
342	8.584	+0.001395	-1.0000
343	8.487	+0.001275	-1.0000
344	8.447	+0.001134	-1.0000
345	8.465	+0.000979	-1.0000
346	8.541	+0.000818	-1.0000
349	8.987	+0.001436	-1.0000
350	8.839	+0.001350	-1.0000
351	8.745	+0.001241	-1.0000
352	8.706	+0.001113	-1.0000
353	8.724	+0.000972	-1.0000
354	8.797	+0.000824	-1.0000
447	8.873	+0.000817	-1.0000
464	8.920	+0.000977	-1.0000
465	8.635	+0.000933	-1.0000
466	8.399	+0.000863	-1.0000
481	8.740	+0.001109	-1.0000
482	8.389	+0.001046	-1.0000
483	8.031	+0.000950	-1.0000
484	7.720	+0.000822	-1.0000
497	8.789	+0.001309	-1.0000
498	8.588	+0.001288	-1.0000
499	8.262	+0.001232	-1.0000
500	7.899	+0.001140	-1.0000
501	7.582	+0.001012	-1.0000
502	7.319	+0.000850	-1.0000
514	8.813	+0.001449	-1.0000
515	8.556	+0.001470	-1.0000
516	8.350	+0.001460	-1.0000
517	8.194	+0.001414	-1.0000
518	7.827	+0.001328	-1.0000
519	7.508	+0.001201	-1.0000
520	7.242	+0.001035	-1.0000
521	7.036	+0.000839	-1.0000
532	8.948	+0.001524	-1.0000
533	8.638	+0.001582	-1.0000
534	8.376	+0.001617	-1.0000
535	8.165	+0.001619	-1.0000
536	8.010	+0.001583	-1.0000
537	7.818	+0.001504	-1.0000
538	7.498	+0.001379	-1.0000
539	7.232	+0.001213	-1.0000
540	7.026	+0.001011	-1.0000
551	8.832	+0.001625	-1.0000
552	8.518	+0.001695	-1.0000
553	8.251	+0.001742	-1.0000
554	8.037	+0.001756	-1.0000
555	7.879	+0.001730	-1.0000
556	7.782	+0.001658	-1.0000
557	7.554	+0.001538	-1.0000
558	7.290	+0.001373	-1.0000
559	7.085	+0.001170	-1.0000
560	6.945	+0.000939	-1.0000
570	8.770	+0.001703	-1.0000
571	8.453	+0.001783	-1.0000
572	8.185	+0.001840	-1.0000
573	7.969	+0.001864	-1.0000
574	7.810	+0.001847	-1.0000
575	7.711	+0.001783	-1.0000
576	7.625	+0.001668	-1.0000
577	7.413	+0.001507	-1.0000
578	7.212	+0.001306	-1.0000
579	7.075	+0.001075	-1.0000
580	7.005	+0.000829	-1.0000
589	8.763	+0.001754	-1.0000
590	8.447	+0.001841	-1.0000
591	8.178	+0.001904	-1.0000
592	7.962	+0.001936	-1.0000
593	7.803	+0.001927	-1.0000
594	7.704	+0.001870	-1.0000
595	7.595	+0.001763	-1.0000
596	7.419	+0.001608	-1.0000
597	7.307	+0.001412	-1.0000
598	7.261	+0.001186	-1.0000
599	7.202	+0.000942	-1.0000
608	8.813	+0.001777	-1.0000
609	8.498	+0.001866	-1.0000
610	8.231	+0.001934	-1.0000
611	8.016	+0.001970	-1.0000
612	7.858	+0.001966	-1.0000
613	7.760	+0.001916	-1.0000
614	7.629	+0.001818	-1.0000
615	7.455	+0.001671	-1.0000
616	7.343	+0.001484	-1.0000
617	7.297	+0.001267	-1.0000
618	7.318	+0.001031	-1.0000
626	8.917	+0.001772	-1.0000
627	8.606	+0.001860	-1.0000
628	8.342	+0.001928	-1.0000
629	8.130	+0.001966	-1.0000
630	7.975	+0.001966	-1.0000
631	7.878	+0.001922	-1.0000
632	7.728	+0.001831	-1.0000
633	7.555	+0.001696	-1.0000
634	7.445	+0.001521	-1.0000
635	7.399	+0.001315	-1.0000
636	7.420	+0.001092	-1.0000
637	7.506	+0.000862	-1.0000
644	8.769	+0.001826	-1.0000
645	8.510	+0.001890	-1.0000
646	8.303	+0.001927	-1.0000
647	8.150	+0.001929	-1.0000
648	8.056	+0.001890	-1.0000
649	7.887	+0.001807	-1.0000
650	7.718	+0.001683	-1.0000
651	7.610	+0.001522	-1.0000
652	7.565	+0.001332	-1.0000
653	7.585	+0.001124	-1.0000
654	7.670	+0.000909	-1.0000
660	8.983	+0.001767	-1.0000
661	8.731	+0.001826	-1.0000
662	8.529	+0.001859	-1.0000
663	8.380	+0.001861	-1.0000
664	8.289	+0.001826	-1.0000
665	8.104	+0.001752	-1.0000
666	7.939	+0.001639	-1.0000
667	7.834	+0.001493	-1.0000
668	7.791	+0.001320	-1.0000
669	7.811	+0.001130	-1.0000
670	7.892	+0.000931	-1.0000
675	8.805	+0.001770	-1.0000
676	8.661	+0.001771	-1.0000
677	8.573	+0.001738	-1.0000
678	8.373	+0.001671	-1.0000
679	8.215	+0.001571	-1.0000
680	8.113	+0.001440	-1.0000
681	8.071	+0.001284	-1.0000
682	8.090	+0.001113	-1.0000
683	8.169	+0.000933	-1.0000
687	8.988	+0.001665	-1.0000
688	8.897	+0.001635	-1.0000
689	8.691	+0.001575	-1.0000
690	8.538	+0.001485	-1.0000
691	8.441	+0.001369	-1.0000
692	8.401	+0.001231	-1.0000
693	8.419	+0.001078	-1.0000
694	8.495	+0.000917	-1.0000
697	8.906	+0.001389	-1.0000
698	8.812	+0.001287	-1.0000
699	8.774	+0.001165	-1.0000
700	8.791	+0.001030	-1.0000
701	8.864	+0.000887	-1.0000
793	8.458	-0.000935	+1.0000
794	8.841	-0.000941	+1.0000
810	7.893	-0.000949	+1.0000
811	8.244	-0.000974	+1.0000
812	8.636	-0.000980	+1.0000
828	7.727	-0.000974	+1.0000
829	8.084	-0.001002	+1.0000
830	8.484	-0.001010	+1.0000
831	8.922	-0.001000	+1.0000
832	8.606	+0.000940	-1.0000
833	8.252	+0.000911	-1.0000
834	7.943	+0.000854	-1.0000
847	7.621	-0.000982	+1.0000
848	7.983	-0.001016	+1.0000
849	8.388	-0.001026	+1.0000
850	8.830	-0.001017	+1.0000
851	8.655	+0.001120	-1.0000
852	8.302	+0.001106	-1.0000
853	7.995	+0.001061	-1.0000
854	7.739	+0.000982	-1.0000
855	7.540	+0.000866	-1.0000
866	7.579	-0.000972	+1.0000
867	7.943	-0.001012	+1.0000
868	8.350	-0.001026	+1.0000
869	8.794	-0.001019	+1.0000
870	8.745	+0.001308	-1.0000
871	8.411	+0.001311	-1.0000
872	8.108	+0.001281	-1.0000
873	7.832	+0.001212	-1.0000
874	7.447	+0.001100	-1.0000
875	7.111	+0.000945	-1.0000
885	7.448	-0.000940	+1.0000
886	7.833	-0.000988	+1.0000
887	8.259	-0.001008	+1.0000
888	8.721	-0.001005	+1.0000
889	8.770	+0.001448	-1.0000
890	8.454	+0.001496	-1.0000
891	8.185	+0.001519	-1.0000
892	7.969	+0.001506	-1.0000
893	7.697	+0.001449	-1.0000
894	7.305	+0.001344	-1.0000
895	6.961	+0.001188	-1.0000
896	6.674	+0.000988	-1.0000
906	7.697	-0.000943	+1.0000
907	8.131	-0.000970	+1.0000
908	8.599	-0.000973	+1.0000
909	8.906	+0.001521	-1.0000
910	8.537	+0.001608	-1.0000
911	8.212	+0.001677	-1.0000
912	7.935	+0.001720	-1.0000
913	7.712	+0.001724	-1.0000
914	7.548	+0.001682	-1.0000
915	7.227	+0.001585	-1.0000
916	6.880	+0.001432	-1.0000
917	6.589	+0.001226	-1.0000
918	6.362	+0.000978	-1.0000
930	8.733	+0.001648	-1.0000
931	8.357	+0.001753	-1.0000
932	8.024	+0.001842	-1.0000
933	7.741	+0.001904	-1.0000
934	7.512	+0.001927	-1.0000
935	7.343	+0.001899	-1.0000
936	7.217	+0.001812	-1.0000
937	6.870	+0.001663	-1.0000
938	6.578	+0.001455	-1.0000
939	6.351	+0.001199	-1.0000
940	6.195	+0.000910	-1.0000
951	8.613	+0.001754	-1.0000
952	8.232	+0.001875	-1.0000
953	7.894	+0.001982	-1.0000
954	7.606	+0.002061	-1.0000
955	7.373	+0.002101	-1.0000
956	7.200	+0.002087	-1.0000
957	7.094	+0.002011	-1.0000
958	6.930	+0.001868	-1.0000
959	6.641	+0.001661	-1.0000
960	6.416	+0.001401	-1.0000
961	6.262	+0.001105	-1.0000
972	8.972	+0.001696	-1.0000
973	8.550	+0.001835	-1.0000
974	8.165	+0.001968	-1.0000
975	7.824	+0.002088	-1.0000
976	7.533	+0.002181	-1.0000
977	7.298	+0.002235	-1.0000
978	7.124	+0.002234	-1.0000
979	7.016	+0.002169	-1.0000
980	6.962	+0.002034	-1.0000
981	6.770	+0.001832	-1.0000
982	6.556	+0.001574	-1.0000
983	6.405	+0.001276	-1.0000
984	6.328	+0.000959	-1.0000
994	8.966	+0.001741	-1.0000
995	8.543	+0.001886	-1.0000
996	8.158	+0.002027	-1.0000
997	7.817	+0.002155	-1.0000
998	7.526	+0.002258	-1.0000
999	7.290	+0.002321	-1.0000
1000	7.116	+0.002330	-1.0000
1001	7.008	+0.002275	-1.0000
1002	6.929	+0.002150	-1.0000
1003	6.736	+0.001957	-1.0000
1004	6.612	+0.001706	-1.0000
1005	6.561	+0.001414	-1.0000
1006	6.545	+0.001100	-1.0000
1016	8.594	+0.001906	-1.0000
1017	8.211	+0.002049	-1.0000
1018	7.872	+0.002180	-1.0000
1019	7.583	+0.002286	-1.0000
1020	7.350	+0.002354	-1.0000
1021	7.177	+0.002371	-1.0000
1022	7.070	+0.002324	-1.0000
1023	6.967	+0.002210	-1.0000
1024	6.775	+0.002029	-1.0000
1025	6.652	+0.001791	-1.0000
1026	6.601	+0.001512	-1.0000
1027	6.624	+0.001209	-1.0000
1028	6.720	+0.000902	-1.0000
1036	8.701	+0.001896	-1.0000
1037	8.323	+0.002035	-1.0000
1038	7.989	+0.002163	-1.0000
1039	7.704	+0.002267	-1.0000
1040	7.474	+0.002336	-1.0000
1041	7.305	+0.002356	-1.0000
1042	7.199	+0.002317	-1.0000
1043	7.074	+0.002214	-1.0000
1044	6.885	+0.002047	-1.0000
1045	6.764	+0.001827	-1.0000
1046	6.714	+0.001565	-1.0000
1047	6.736	+0.001280	-1.0000
1048	6.831	+0.000989	-1.0000
1056	8.862	+0.001857	-1.0000
1057	8.491	+0.001989	-1.0000
1058	8.164	+0.002109	-1.0000
1059	7.886	+0.002207	-1.0000
1060	7.661	+0.002272	-1.0000
1061	7.496	+0.002292	-1.0000
1062	7.393	+0.002258	-1.0000
1063	7.248	+0.002166	-1.0000
1064	7.063	+0.002016	-1.0000
1065	6.945	+0.001815	-1.0000
1066	6.897	+0.001576	-1.0000
1067	6.919	+0.001313	-1.0000
1068	7.011	+0.001042	-1.0000
1075	8.712	+0.001917	-1.0000
1076	8.394	+0.002026	-1.0000
1077	8.123	+0.002114	-1.0000
1078	7.906	+0.002172	-1.0000
1079	7.746	+0.002189	-1.0000
1080	7.646	+0.002159	-1.0000
1081	7.483	+0.002076	-1.0000
1082	7.305	+0.001942	-1.0000
1083	7.191	+0.001763	-1.0000
1084	7.143	+0.001548	-1.0000
1085	7.165	+0.001311	-1.0000
1086	7.254	+0.001065	-1.0000
1087	7.408	+0.000823	-1.0000
1093	8.983	+0.001824	-1.0000
1094	8.674	+0.001920	-1.0000
1095	8.413	+0.001997	-1.0000
1096	8.203	+0.002046	-1.0000
1097	8.049	+0.002059	-1.0000
1098	7.953	+0.002031	-1.0000
1099	7.774	+0.001957	-1.0000
1100	7.603	+0.001839	-1.0000
1101	7.493	+0.001680	-1.0000
1102	7.448	+0.001491	-1.0000
1103	7.469	+0.001280	-1.0000
1104	7.554	+0.001059	-1.0000
1105	7.702	+0.000841	-1.0000
1110	8.749	+0.001865	-1.0000
1111	8.547	+0.001905	-1.0000
1112	8.399	+0.001914	-1.0000
1113	8.308	+0.001886	-1.0000
1114	8.116	+0.001820	-1.0000
1115	7.952	+0.001716	-1.0000
1116	7.847	+0.001578	-1.0000
1117	7.804	+0.001412	-1.0000
1118	7.823	+0.001227	-1.0000
1119	7.905	+0.001033	-1.0000
1120	8.047	+0.000838	-1.0000
1124	8.933	+0.001758	-1.0000
1125	8.792	+0.001762	-1.0000
1126	8.704	+0.001736	-1.0000
1127	8.501	+0.001676	-1.0000
1128	8.345	+0.001585	-1.0000
1129	8.245	+0.001465	-1.0000
1130	8.204	+0.001321	-1.0000
1131	8.223	+0.001160	-1.0000
1132	8.300	+0.000991	-1.0000
1133	8.436	+0.000819	-1.0000
1136	8.925	+0.001533	-1.0000
1137	8.776	+0.001453	-1.0000
1138	8.682	+0.001349	-1.0000
1139	8.643	+0.001225	-1.0000
1140	8.660	+0.001086	-1.0000
1141	8.734	+0.000938	-1.0000
1217	8.198	-0.000945	+1.0000
1218	8.536	-0.000961	+1.0000
1219	8.916	-0.000962	+1.0000
1234	7.301	-0.000932	+1.0000
1235	7.550	-0.000983	+1.0000
1236	7.853	-0.001016	+1.0000
1237	8.205	-0.001031	+1.0000
1238	8.599	-0.001030	+1.0000
1253	6.982	-0.000988	+1.0000
1254	7.241	-0.001046	+1.0000
1255	7.557	-0.001083	+1.0000
1256	7.922	-0.001098	+1.0000
1257	8.330	-0.001095	+1.0000
1258	8.775	-0.001076	+1.0000
1273	6.515	-0.000941	+1.0000
1274	6.720	-0.001033	+1.0000
1275	6.990	-0.001100	+1.0000
1276	7.316	-0.001142	+1.0000
1277	7.693	-0.001159	+1.0000
1278	8.112	-0.001154	+1.0000
1279	8.569	-0.001131	+1.0000
1280	8.914	+0.000863	-1.0000
1281	8.456	+0.000862	-1.0000
1282	8.034	+0.000842	-1.0000
1294	6.313	-0.000952	+1.0000
1295	6.524	-0.001060	+1.0000
1296	6.801	-0.001139	+1.0000
1297	7.136	-0.001188	+1.0000
1298	7.522	-0.001207	+1.0000
1299	7.950	-0.001201	+1.0000
1300	8.415	-0.001175	+1.0000
1301	8.911	-0.001134	+1.0000
1302	8.906	+0.001025	-1.0000
1303	8.448	+0.001044	-1.0000
1304	8.025	+0.001043	-1.0000
1305	7.643	+0.001015	-1.0000
1306	7.309	+0.000953	-1.0000
1307	7.028	+0.000853	-1.0000
1316	6.183	-0.000936	+1.0000
1317	6.398	-0.001065	+1.0000
1318	6.681	-0.001158	+1.0000
1319	7.022	-0.001215	+1.0000
1320	7.413	-0.001238	+1.0000
1321	7.848	-0.001233	+1.0000
1322	8.318	-0.001205	+1.0000
1323	8.820	-0.001161	+1.0000
1324	8.953	+0.001198	-1.0000
1325	8.497	+0.001240	-1.0000
1326	8.077	+0.001262	-1.0000
1327	7.698	+0.001255	-1.0000
1328	7.366	+0.001211	-1.0000
1329	7.087	+0.001123	-1.0000
1330	6.869	+0.000985	-1.0000
1339	6.348	-0.001041	+1.0000
1340	6.632	-0.001151	+1.0000
1341	6.976	-0.001219	+1.0000
1342	7.370	-0.001248	+1.0000
1343	7.807	-0.001245	+1.0000
1344	8.280	-0.001218	+1.0000
1345	8.783	-0.001173	+1.0000
1346	8.894	+0.001376	-1.0000
1347	8.525	+0.001443	-1.0000
1348	8.189	+0.001491	-1.0000
1349	7.815	+0.001510	-1.0000
1350	7.488	+0.001488	-1.0000
1351	7.215	+0.001415	-1.0000
1352	6.886	+0.001285	-1.0000
1353	6.520	+0.001095	-1.0000
1354	6.212	+0.000853	-1.0000
1361	6.213	-0.000985	+1.0000
1362	6.521	-0.001114	+1.0000
1363	6.886	-0.001194	+1.0000
1364	7.301	-0.001232	+1.0000
1365	7.756	-0.001234	+1.0000
1366	8.246	-0.001209	+1.0000
1367	8.765	-0.001166	+1.0000
1368	8.607	+0.001553	-1.0000
1369	8.225	+0.001647	-1.0000
1370	7.887	+0.001723	-1.0000
1371	7.599	+0.001770	-1.0000
1372	7.366	+0.001773	-1.0000
1373	7.155	+0.001719	-1.0000
1374	6.731	+0.001600	-1.0000
1375	6.357	+0.001411	-1.0000
1376	6.041	+0.001159	-1.0000
1377	5.792	+0.000856	-1.0000
1384	6.357	-0.001044	+1.0000
1385	6.732	-0.001139	+1.0000
1386	7.155	-0.001187	+1.0000
1387	7.620	-0.001197	+1.0000
1388	8.118	-0.001178	+1.0000
1389	8.644	-0.001139	+1.0000
1390	8.801	+0.001592	-1.0000
1391	8.370	+0.001721	-1.0000
1392	7.977	+0.001843	-1.0000
1393	7.627	+0.001948	-1.0000
1394	7.329	+0.002024	-1.0000
1395	7.087	+0.002053	-1.0000
1396	6.907	+0.002021	-1.0000
1397	6.647	+0.001915	-1.0000
1398	6.268	+0.001730	-1.0000
1399	5.947	+0.001470	-1.0000
1400	5.694	+0.001151	-1.0000
1407	6.268	-0.000943	+1.0000
1408	6.648	-0.001054	+1.0000
1409	7.076	-0.001115	+1.0000
1410	7.545	-0.001135	+1.0000
1411	8.048	-0.001125	+1.0000
1412	8.579	-0.001093	+1.0000
1413	8.626	+0.001721	-1.0000
1414	8.186	+0.001873	-1.0000
1415	7.783	+0.002021	-1.0000
1416	7.425	+0.002154	-1.0000
1417	7.117	+0.002258	-1.0000
1418	6.868	+0.002314	-1.0000
1419	6.683	+0.002304	-1.0000
1420	6.567	+0.002212	-1.0000
1421	6.256	+0.002033	-1.0000
1422	5.935	+0.001770	-1.0000
1423	5.682	+0.001438	-1.0000
1424	5.507	+0.001062	-1.0000
1431	6.637	-0.000942	+1.0000
1432	7.066	-0.001016	+1.0000
1433	7.536	-0.001049	+1.0000
1434	8.039	-0.001050	+1.0000
1435	8.570	-0.001028	+1.0000
1436	8.985	+0.001665	-1.0000
1437	8.505	+0.001829	-1.0000
1438	8.058	+0.002000	-1.0000
1439	7.649	+0.002170	-1.0000
1440	7.284	+0.002328	-1.0000
1441	6.970	+0.002458	-1.0000
1442	6.715	+0.002538	-1.0000
1443	6.526	+0.002549	-1.0000
1444	6.408	+0.002473	-1.0000
1445	6.323	+0.002302	-1.0000
1446	6.005	+0.002039	-1.0000
1447	5.755	+0.001701	-1.0000
1448	5.582	+0.001313	-1.0000
1449	5.494	+0.000902	-1.0000
1457	7.591	-0.000944	+1.0000
1458	8.091	-0.000958	+1.0000
1459	8.619	-0.000948	+1.0000
1460	8.924	+0.001733	-1.0000
1461	8.441	+0.001910	-1.0000
1462	7.990	+0.002095	-1.0000
1463	7.577	+0.002282	-1.0000
1464	7.208	+0.002459	-1.0000
1465	6.891	+0.002608	-1.0000
1466	6.634	+0.002709	-1.0000
1467	6.442	+0.002739	-1.0000
1468	6.322	+0.002678	-1.0000
1469	6.278	+0.002518	-1.0000
1470	6.094	+0.002261	-1.0000
1471	5.910	+0.001923	-1.0000
1472	5.742	+0.001532	-1.0000
1473	5.656	+0.001115	-1.0000
1484	8.918	+0.001777	-1.0000
1485	8.434	+0.001960	-1.0000
1486	7.983	+0.002154	-1.0000
1487	7.569	+0.002350	-1.0000
1488	7.201	+0.002537	-1.0000
1489	6.883	+0.002699	-1.0000
1490	6.625	+0.002813	-1.0000
1491	6.433	+0.002857	-1.0000
1492	6.313	+0.002810	-1.0000
1493	6.269	+0.002663	-1.0000
1494	6.056	+0.002418	-1.0000
1495	5.918	+0.002091	-1.0000
1496	5.861	+0.001706	-1.0000
1497	5.887	+0.001294	-1.0000
1498	5.898	+0.000884	-1.0000
1508	8.966	+0.001794	-1.0000
1509	8.485	+0.001978	-1.0000
1510	8.037	+0.002172	-1.0000
1511	7.627	+0.002370	-1.0000
1512	7.261	+0.002559	-1.0000
1513	6.946	+0.002724	-1.0000
1514	6.690	+0.002843	-1.0000
1515	6.500	+0.002895	-1.0000
1516	6.381	+0.002860	-1.0000
1517	6.312	+0.002728	-1.0000
1518	6.100	+0.002501	-1.0000
1519	5.963	+0.002192	-1.0000
1520	5.906	+0.001825	-1.0000
1521	5.931	+0.001429	-1.0000
1522	6.039	+0.001032	-1.0000
1531	8.594	+0.001964	-1.0000
1532	8.151	+0.002152	-1.0000
1533	7.747	+0.002343	-1.0000
1534	7.387	+0.002526	-1.0000
1535	7.078	+0.002685	-1.0000
1536	6.827	+0.002802	-1.0000
1537	6.641	+0.002856	-1.0000
1538	6.525	+0.002829	-1.0000
1539	6.430	+0.002712	-1.0000
1540	6.222	+0.002506	-1.0000
1541	6.088	+0.002223	-1.0000
1542	6.032	+0.001883	-1.0000
1543	6.057	+0.001513	-1.0000
1544	6.162	+0.001139	-1.0000
1553	8.757	+0.001921	-1.0000
1554	8.323	+0.002098	-1.0000
1555	7.927	+0.002276	-1.0000
1556	7.576	+0.002445	-1.0000
1557	7.275	+0.002592	-1.0000
1558	7.031	+0.002699	-1.0000
1559	6.850	+0.002749	-1.0000
1560	6.738	+0.002727	-1.0000
1561	6.621	+0.002625	-1.0000
1562	6.419	+0.002441	-1.0000
1563	6.288	+0.002188	-1.0000
1564	6.234	+0.001881	-1.0000
1565	6.259	+0.001545	-1.0000
1566	6.361	+0.001201	-1.0000
1567	6.536	+0.000871	-1.0000
1574	8.971	+0.001854	-1.0000
1575	8.548	+0.002015	-1.0000
1576	8.164	+0.002176	-1.0000
1577	7.823	+0.002327	-1.0000
1578	7.532	+0.002457	-1.0000
1579	7.297	+0.002550	-1.0000
1580	7.123	+0.002593	-1.0000
1581	7.015	+0.002573	-1.0000
1582	6.878	+0.002482	-1.0000
1583	6.683	+0.002322	-1.0000
1584	6.558	+0.002099	-1.0000
1585	6.507	+0.001829	-1.0000
1586	6.530	+0.001530	-1.0000
1587	6.628	+0.001221	-1.0000
1588	6.796	+0.000921	-1.0000
1595	8.824	+0.001912	-1.0000
1596	8.452	+0.002053	-1.0000
1597	8.123	+0.002184	-1.0000
1598	7.843	+0.002294	-1.0000
1599	7.618	+0.002372	-1.0000
1600	7.451	+0.002406	-1.0000
1601	7.348	+0.002385	-1.0000
1602	7.194	+0.002305	-1.0000
1603	7.008	+0.002166	-1.0000
1604	6.889	+0.001973	-1.0000
1605	6.840	+0.001739	-1.0000
1606	6.862	+0.001477	-1.0000
1607	6.955	+0.001206	-1.0000
1608	7.116	+0.000939	-1.0000
1614	8.787	+0.001917	-1.0000
1615	8.471	+0.002027	-1.0000
1616	8.203	+0.002118	-1.0000
1617	7.987	+0.002180	-1.0000
1618	7.829	+0.002204	-1.0000
1619	7.731	+0.002183	-1.0000
1620	7.561	+0.002112	-1.0000
1621	7.385	+0.001991	-1.0000
1622	7.272	+0.001826	-1.0000
1623	7.225	+0.001625	-1.0000
1624	7.247	+0.001400	-1.0000
1625	7.335	+0.001164	-1.0000
1626	7.487	+0.000930	-1.0000
1631	8.860	+0.001866	-1.0000
1632	8.604	+0.001938	-1.0000
1633	8.399	+0.001986	-1.0000
1634	8.248	+0.002001	-1.0000
1635	8.155	+0.001979	-1.0000
1636	7.974	+0.001916	-1.0000
1637	7.807	+0.001811	-1.0000
1638	7.700	+0.001670	-1.0000
1639	7.656	+0.001499	-1.0000
1640	7.676	+0.001307	-1.0000
1641	7.759	+0.001105	-1.0000
1642	7.904	+0.000902	-1.0000
1646	8.847	+0.001799	-1.0000
1647	8.704	+0.001807	-1.0000
1648	8.616	+0.001783	-1.0000
1649	8.424	+0.001727	-1.0000
1650	8.266	+0.001637	-1.0000
1651	8.166	+0.001516	-1.0000
1652	8.124	+0.001371	-1.0000
1653	8.143	+0.001208	-1.0000
1654	8.221	+0.001036	-1.0000
1655	8.358	+0.000861	-1.0000
1658	8.907	+0.001551	-1.0000
1659	8.758	+0.001473	-1.0000
1660	8.663	+0.001370	-1.0000
1661	8.624	+0.001247	-1.0000
1662	8.641	+0.001109	-1.0000
1663	8.715	+0.000963	-1.0000
1664	8.844	+0.000813	-1.0000
1742	7.827	-0.000965	+1.0000
1743	8.120	-0.000993	+1.0000
1744	8.461	-0.001006	+1.0000
1745	8.844	-0.001005	+1.0000
1759	6.890	-0.000948	+1.0000
1760	7.145	-0.001011	+1.0000
1761	7.399	-0.001058	+1.0000
1762	7.708	-0.001087	+1.0000
1763	8.066	-0.001098	+1.0000
1764	8.467	-0.001093	+1.0000
1765	8.905	-0.001073	+1.0000
1779	6.360	-0.000944	+1.0000
1780	6.542	-0.001031	+1.0000
1781	6.746	-0.001102	+1.0000
1782	7.014	-0.001154	+1.0000
1783	7.340	-0.001184	+1.0000
1784	7.715	-0.001193	+1.0000
1785	8.133	-0.001183	+1.0000
1786	8.589	-0.001156	+1.0000
1800	6.042	-0.001006	+1.0000
1801	6.183	-0.001108	+1.0000
1802	6.399	-0.001190	+1.0000
1803	6.681	-0.001248	+1.0000
1804	7.022	-0.001281	+1.0000
1805	7.413	-0.001288	+1.0000
1806	7.848	-0.001272	+1.0000
1807	8.319	-0.001238	+1.0000
1808	8.820	-0.001190	+1.0000
1823	5.738	-0.001049	+1.0000
1824	5.886	-0.001171	+1.0000
1825	6.112	-0.001268	+1.0000
1826	6.407	-0.001336	+1.0000
1827	6.762	-0.001372	+1.0000
1828	7.168	-0.001377	+1.0000
1829	7.616	-0.001356	+1.0000
