global_idx	min_dist	q
7146	3.719	-0.0341
9331	3.501	+0.0729
8527	4.379	+0.0916
7876	4.416	+0.0514
4758	3.889	+0.0206
3212	3.928	-0.0415
9229	4.492	+0.0337
3323	3.451	+0.1005
3914	3.896	-0.1379
6058	4.151	-0.0547
7286	4.602	-0.0191
3986	4.109	+0.0082
5319	4.000	-0.0024
8625	3.823	-0.0540
7975	3.866	-0.0663
3324	3.451	+0.0980
4680	4.318	-0.0020
4740	4.031	+0.0031
9312	3.521	+0.0312
3265	3.762	+0.0318
3215	3.928	+0.0428
10632	3.951	-0.0230
3963	4.199	-0.0333
5394	4.356	-0.0325
7369	3.659	-0.0505
3888	3.602	-0.1464
4634	3.921	-0.0702
3238	3.909	-0.0139
9068	3.185	+0.0110
4072	3.638	+0.0766
11931	3.441	-0.0281
11846	3.839	-0.0258
8594	4.332	-0.0153
7943	4.370	-0.0281
8417	3.393	+0.0013
4008	3.896	+0.0239
3921	3.871	+0.0467
7767	3.162	+0.0382
9179	4.452	+0.1139
7237	4.561	+0.0121
3322	3.590	+0.0889
3270	3.763	+0.0632
4700	4.301	-0.0050
10468	4.007	+0.1258
3893	3.593	+0.0519
3293	3.743	+0.0601
9277	3.906	-0.0337
5931	4.505	-0.0324
11177	4.249	+0.0477
3989	4.110	+0.0279
7334	4.032	-0.0665
4549	2.990	-0.0247
11865	3.256	+0.0104
3243	3.909	+0.0556
9994	3.938	-0.0109
9800	4.151	+0.0929
3325	3.590	+0.0835
9866	4.586	+0.0765
4550	3.282	+0.0304
5340	4.728	-0.0224
6092	3.781	-0.0237
6559	4.472	-0.0428
12442	3.153	-0.0091
5300	3.825	-0.0332
6631	4.914	-0.0170
3187	3.857	-0.0347
11159	4.155	+0.0816
3967	4.244	+0.0287
10658	3.345	+0.0598
5245	3.763	+0.0120
11299	3.584	-0.0058
3188	3.827	+0.0025
4778	3.634	+0.0337
9849	4.604	+0.1065
10659	3.217	+0.0922
5322	4.845	-0.0199
11069	3.133	+0.0359
3940	4.252	-0.0797
3298	3.744	+0.0660
6613	4.809	-0.0105
9952	3.725	+0.0166
8459	4.308	-0.0641
5854	3.467	+0.0683
7808	4.346	-0.0743
9245	4.406	-0.0029
4638	4.450	+0.0020
6717	4.017	-0.0589
9069	3.514	-0.0286
9999	3.404	+0.0979
7303	4.518	-0.0361
