grid_idx	min_dist	dV	q
2007	6.068	+0.003100	-1.0000
2008	5.857	+0.003157	-1.0000
2009	5.725	+0.003090	-1.0000
2032	6.262	+0.003145	-1.0000
2033	5.977	+0.003324	-1.0000
2034	5.763	+0.003408	-1.0000
2035	5.629	+0.003364	-1.0000
2036	5.580	+0.003172	-1.0000
2058	6.253	+0.003254	-1.0000
2059	5.968	+0.003452	-1.0000
2060	5.754	+0.003557	-1.0000
2061	5.619	+0.003533	-1.0000
2062	5.570	+0.003359	-1.0000
2082	6.322	+0.003272	-1.0000
2083	6.040	+0.003474	-1.0000
2084	5.829	+0.003588	-1.0000
2085	5.696	+0.003579	-1.0000
2086	5.648	+0.003428	-1.0000
2087	5.431	+0.003134	-1.0000
2106	6.467	+0.003201	-1.0000
2107	6.191	+0.003394	-1.0000
2108	5.985	+0.003505	-1.0000
2109	5.856	+0.003506	-1.0000
2110	5.800	+0.003375	-1.0000
2111	5.568	+0.003115	-1.0000
2131	6.415	+0.003230	-1.0000
2132	6.217	+0.003330	-1.0000
2133	6.093	+0.003333	-1.0000
2134	6.010	+0.003221	-1.0000
2155	6.516	+0.003092	-1.0000
2156	6.397	+0.003091	-1.0000
2607	5.923	+0.003229	-1.0000
2608	5.621	+0.003429	-1.0000
2609	5.393	+0.003516	-1.0000
2610	5.249	+0.003443	-1.0000
2611	5.097	+0.003183	-1.0000
2633	6.122	+0.003248	-1.0000
2634	5.745	+0.003569	-1.0000
2635	5.433	+0.003828	-1.0000
2636	5.197	+0.003968	-1.0000
2637	5.048	+0.003929	-1.0000
2638	4.993	+0.003678	-1.0000
2639	4.785	+0.003223	-1.0000
2659	6.032	+0.003455	-1.0000
2660	5.649	+0.003822	-1.0000
2661	5.332	+0.004130	-1.0000
2662	5.091	+0.004315	-1.0000
2663	4.939	+0.004311	-1.0000
2664	4.883	+0.004077	-1.0000
2665	4.763	+0.003622	-1.0000
2684	6.459	+0.003169	-1.0000
2685	6.023	+0.003566	-1.0000
2686	5.639	+0.003957	-1.0000
2687	5.321	+0.004293	-1.0000
