grid_idx	min_dist	dV	q
6663	4.304	-0.006905	+1.0000
6664	4.914	-0.005380	+1.0000
6679	3.649	-0.007818	+1.0000
6680	4.231	-0.006147	+1.0000
6681	4.844	-0.004894	+1.0000
6695	3.776	+0.006195	-1.0000
6696	3.543	-0.006391	+1.0000
6697	4.140	-0.005215	+1.0000
6712	3.629	+0.006982	-1.0000
6713	3.026	-0.005914	+1.0000
6714	3.573	-0.005051	+1.0000
6729	4.302	+0.005460	-1.0000
6730	3.613	+0.007356	-1.0000
6747	4.402	+0.005406	-1.0000
6748	3.732	+0.007196	-1.0000
6766	3.971	+0.006608	-1.0000
6784	4.313	+0.005806	-1.0000
6785	3.759	+0.007360	-1.0000
6803	4.235	+0.006006	-1.0000
6804	3.801	+0.007188	-1.0000
6823	4.386	+0.005587	-1.0000
6824	4.090	+0.006200	-1.0000
6825	3.899	+0.006577	-1.0000
6826	3.828	+0.006590	-1.0000
6827	3.853	+0.006220	-1.0000
6828	3.632	+0.005534	-1.0000
7208	3.202	-0.005514	+1.0000
7209	3.734	-0.005388	+1.0000
7210	4.314	-0.004939	+1.0000
7227	4.001	-0.006378	+1.0000
7228	4.578	-0.005370	+1.0000
7245	3.662	-0.008115	+1.0000
7246	4.249	-0.006476	+1.0000
7247	4.865	-0.005181	+1.0000
7263	4.016	-0.007517	+1.0000
7264	4.664	-0.005791	+1.0000
7280	3.897	-0.008228	+1.0000
7281	4.561	-0.006170	+1.0000
7282	5.235	-0.004778	+1.0000
7296	3.901	-0.008344	+1.0000
7297	4.565	-0.006205	+1.0000
7298	5.239	-0.004785	+1.0000
7312	4.030	-0.007794	+1.0000
7313	4.675	-0.005877	+1.0000
7328	3.320	-0.008945	+1.0000
7329	3.951	-0.006789	+1.0000
7330	4.602	-0.005281	+1.0000
7344	3.718	+0.005604	-1.0000
7345	3.203	-0.007065	+1.0000
7346	3.853	-0.005647	+1.0000
7361	3.236	-0.005482	+1.0000
7393	3.672	+0.006659	-1.0000
7411	3.916	+0.006159	-1.0000
7429	4.262	+0.005448	-1.0000
7430	3.700	+0.006844	-1.0000
7449	4.183	+0.005629	-1.0000
7450	3.743	+0.006677	-1.0000
7471	4.036	+0.005768	-1.0000
7472	3.842	+0.006070	-1.0000
7473	3.770	+0.006037	-1.0000
7474	3.827	+0.005670	-1.0000
7858	3.868	-0.005793	+1.0000
7859	4.346	-0.005213	+1.0000
7876	3.874	-0.006864	+1.0000
7877	4.432	-0.005655	+1.0000
7894	4.092	-0.006902	+1.0000
7895	4.729	-0.005408	+1.0000
7910	3.850	-0.008085	+1.0000
7911	4.521	-0.006068	+1.0000
7926	3.725	-0.008864	+1.0000
7927	4.416	-0.006461	+1.0000
7928	5.109	-0.004925	+1.0000
7942	3.730	-0.008899	+1.0000
7943	4.420	-0.006457	+1.0000
7944	5.112	-0.004914	+1.0000
7959	3.864	-0.008142	+1.0000
7960	4.533	-0.006049	+1.0000
7976	3.781	-0.006922	+1.0000
7977	4.457	-0.005370	+1.0000
7993	3.679	-0.005665	+1.0000
8024	3.628	+0.005598	-1.0000
8041	3.745	+0.005617	-1.0000
8078	3.773	+0.005819	-1.0000
8098	3.815	+0.005680	-1.0000
8510	3.860	-0.005746	+1.0000
8511	4.308	-0.005152	+1.0000
8528	3.831	-0.006832	+1.0000
8529	4.395	-0.005595	+1.0000
8546	4.052	-0.006852	+1.0000
8547	4.694	-0.005337	+1.0000
8562	3.807	-0.008031	+1.0000
8563	4.485	-0.005980	+1.0000
8578	3.681	-0.008745	+1.0000
8579	4.379	-0.006335	+1.0000
8580	5.077	-0.004827	+1.0000
8594	3.686	-0.008635	+1.0000
8595	4.383	-0.006273	+1.0000
8596	5.080	-0.004793	+1.0000
8611	3.822	-0.007710	+1.0000
8612	4.497	-0.005810	+1.0000
8628	3.737	-0.006416	+1.0000
8629	4.420	-0.005113	+1.0000
8645	3.633	-0.005221	+1.0000
9162	3.669	-0.005162	+1.0000
9180	3.904	-0.006190	+1.0000
9181	4.469	-0.005156	+1.0000
9198	4.132	-0.006266	+1.0000
9199	4.764	-0.004954	+1.0000
9214	3.892	-0.007273	+1.0000
9215	4.557	-0.005511	+1.0000
9230	3.769	-0.007805	+1.0000
9231	4.452	-0.005788	+1.0000
9246	3.774	-0.007551	+1.0000
9247	4.457	-0.005676	+1.0000
9263	3.875	-0.006600	+1.0000
9264	4.569	-0.005215	+1.0000
9280	3.823	-0.005436	+1.0000
9835	3.672	-0.005080	+1.0000
9852	4.151	-0.005280	+1.0000
9868	4.096	-0.006019	+1.0000
9869	4.733	-0.004767	+1.0000
9884	3.980	-0.006346	+1.0000
9885	4.632	-0.004957	+1.0000
9900	3.912	-0.006047	+1.0000
9901	4.604	-0.004829	+1.0000
9917	3.891	-0.005249	+1.0000
10537	4.080	-0.004831	+1.0000
