idx	x	y	z	min_dist	nearest_el	V_R	V_TS	Dv
63	59.7108	23.0430	54.0110	8.562	H	-0.09625430	-0.09538143	0.00087286
64	59.7108	23.0430	54.7110	8.388	H	-0.09659779	-0.09585512	0.00074268
65	59.7108	23.0430	55.4110	8.271	H	-0.09653565	-0.09593689	0.00059876
66	59.7108	23.0430	56.1110	8.211	H	-0.09607668	-0.09562940	0.00044729
67	59.7108	23.0430	56.8110	8.211	H	-0.09524406	-0.09494933	0.00029473
68	59.7108	23.0430	57.5110	8.271	H	-0.09407261	-0.09392543	0.00014718
69	59.7108	23.0430	58.2110	8.388	H	-0.09260526	-0.09259541	0.00000985
70	59.7108	23.0430	58.9110	8.562	H	-0.09088929	-0.09100255	-0.00011326
71	59.7108	23.0430	59.6110	8.788	H	-0.08897284	-0.08919242	-0.00021957
72	60.4108	23.0430	53.3110	8.835	H	-0.09586150	-0.09477705	0.00108445
73	60.4108	23.0430	54.0110	8.610	H	-0.09661820	-0.09564398	0.00097422
74	60.4108	23.0430	54.7110	8.438	H	-0.09696785	-0.09612439	0.00084346
75	60.4108	23.0430	55.4110	8.321	H	-0.09690262	-0.09620507	0.00069756
76	60.4108	23.0430	56.1110	8.262	H	-0.09643107	-0.09588817	0.00054290
77	60.4108	23.0430	56.8110	8.262	H	-0.09557694	-0.09519075	0.00038619
78	60.4108	23.0430	57.5110	8.321	H	-0.09437651	-0.09414270	0.00023381
79	60.4108	23.0430	58.2110	8.438	H	-0.09287477	-0.09278354	0.00009123
80	60.4108	23.0430	58.9110	8.611	H	-0.09112133	-0.09115870	-0.00003737
81	60.4108	23.0430	59.6110	8.835	H	-0.08916666	-0.08931591	-0.00014925
82	61.1108	23.0430	53.3110	8.937	H	-0.09581916	-0.09465028	0.00116888
83	61.1108	23.0430	54.0110	8.715	H	-0.09658168	-0.09552068	0.00106100
84	61.1108	23.0430	54.7110	8.545	H	-0.09693393	-0.09600242	0.00093151
85	61.1108	23.0430	55.4110	8.429	H	-0.09686728	-0.09608148	0.00078580
86	61.1108	23.0430	56.1110	8.371	H	-0.09638990	-0.09575960	0.00063030
87	61.1108	23.0430	56.8110	8.371	H	-0.09552573	-0.09505388	0.00047185
88	61.1108	23.0430	57.5110	8.429	H	-0.09431174	-0.09399481	0.00031693
89	61.1108	23.0430	58.2110	8.545	H	-0.09279413	-0.09262298	0.00017115
90	61.1108	23.0430	58.9110	8.715	H	-0.09102391	-0.09098510	0.00003881
91	61.1108	23.0430	59.6110	8.937	H	-0.08905296	-0.08913018	-0.00007723
92	61.8108	23.0430	53.3110	8.943	O	-0.09537372	-0.09413988	0.00123383
93	61.8108	23.0430	54.0110	8.794	O	-0.09613267	-0.09500306	0.00112961
94	61.8108	23.0430	54.7110	8.699	O	-0.09648357	-0.09548035	0.00100322
95	61.8108	23.0430	55.4110	8.594	H	-0.09641725	-0.09555735	0.00085990
96	61.8108	23.0430	56.1110	8.536	H	-0.09594141	-0.09523540	0.00070602
97	61.8108	23.0430	56.8110	8.536	H	-0.09507969	-0.09453137	0.00054833
98	61.8108	23.0430	57.5110	8.594	H	-0.09386902	-0.09347572	0.00039330
99	61.8108	23.0430	58.2110	8.707	H	-0.09235573	-0.09210918	0.00024654
100	61.8108	23.0430	58.9110	8.874	H	-0.09059116	-0.09047874	0.00011241
101	62.5108	23.0430	53.3110	8.972	O	-0.09452986	-0.09325274	0.00127712
102	62.5108	23.0430	54.0110	8.824	O	-0.09527568	-0.09409798	0.00117770
103	62.5108	23.0430	54.7110	8.729	O	-0.09562113	-0.09456506	0.00105607
104	62.5108	23.0430	55.4110	8.691	O	-0.09555687	-0.09463962	0.00091724
105	62.5108	23.0430	56.1110	8.708	O	-0.09509005	-0.09432272	0.00076733
106	62.5108	23.0430	56.8110	8.755	H	-0.09424354	-0.09363066	0.00061287
107	62.5108	23.0430	57.5110	8.811	H	-0.09305335	-0.09259319	0.00046016
108	62.5108	23.0430	58.2110	8.921	H	-0.09156493	-0.09125023	0.00031471
109	63.2108	23.0430	54.0110	8.909	O	-0.09403261	-0.09282825	0.00120436
110	63.2108	23.0430	54.7110	8.815	O	-0.09436872	-0.09327980	0.00108892
111	63.2108	23.0430	55.4110	8.777	O	-0.09430812	-0.09335170	0.00095642
112	63.2108	23.0430	56.1110	8.794	O	-0.09385737	-0.09304477	0.00081259
113	63.2108	23.0430	56.8110	8.867	O	-0.09303809	-0.09237447	0.00066362
114	63.2108	23.0430	57.5110	8.994	O	-0.09188464	-0.09136914	0.00051550
115	63.9108	23.0430	54.7110	8.955	O	-0.09276473	-0.09166271	0.00110202
116	63.9108	23.0430	55.4110	8.917	O	-0.09270915	-0.09173184	0.00097730
117	63.9108	23.0430	56.1110	8.935	O	-0.09228054	-0.09143923	0.00084130
118	52.0108	23.7430	55.4110	8.999	H	-0.07992433	-0.08016992	-0.00024559
119	52.7108	23.7430	53.3110	8.941	H	-0.08174939	-0.08175468	-0.00000528
120	52.7108	23.7430	54.0110	8.828	H	-0.08222104	-0.08229923	-0.00007819
121	52.7108	23.7430	54.7110	8.770	H	-0.08246180	-0.08261451	-0.00015271
122	52.7108	23.7430	55.4110	8.767	H	-0.08247255	-0.08269950	-0.00022696
123	52.7108	23.7430	56.1110	8.820	H	-0.08225924	-0.08255839	-0.00029915
124	52.7108	23.7430	56.8110	8.928	H	-0.08183172	-0.08219934	-0.00036762
125	53.4108	23.7430	52.6110	8.931	H	-0.08353149	-0.08340374	0.00012775
126	53.4108	23.7430	53.3110	8.763	H	-0.08428693	-0.08423563	0.00005130
127	53.4108	23.7430	54.0110	8.648	H	-0.08479375	-0.08482370	-0.00002995
128	53.4108	23.7430	54.7110	8.588	H	-0.08504584	-0.08515959	-0.00011375
129	53.4108	23.7430	55.4110	8.585	H	-0.08504444	-0.08524220	-0.00019777
130	53.4108	23.7430	56.1110	8.640	H	-0.08479691	-0.08507668	-0.00027976
131	53.4108	23.7430	56.8110	8.750	H	-0.08431526	-0.08467292	-0.00035766
132	53.4108	23.7430	57.5110	8.840	H	-0.08361463	-0.08404423	-0.00042960
133	53.4108	23.7430	58.2110	8.937	H	-0.08271228	-0.08320626	-0.00049397
134	54.1108	23.7430	52.6110	8.809	H	-0.08600179	-0.08579538	0.00020642
135	54.1108	23.7430	53.3110	8.638	H	-0.08682004	-0.08669703	0.00012302
136	54.1108	23.7430	54.0110	8.521	H	-0.08736515	-0.08733209	0.00003306
137	54.1108	23.7430	54.7110	8.461	H	-0.08762978	-0.08769055	-0.00006077
138	54.1108	23.7430	55.4110	8.458	H	-0.08761535	-0.08777094	-0.00015559
139	54.1108	23.7430	56.1110	8.513	H	-0.08733067	-0.08757928	-0.00024861
140	54.1108	23.7430	56.8110	8.534	H	-0.08679016	-0.08712738	-0.00033722
141	54.1108	23.7430	57.5110	8.578	H	-0.08601195	-0.08643108	-0.00041913
142	54.1108	23.7430	58.2110	8.678	H	-0.08501659	-0.08550895	-0.00049236
143	54.1108	23.7430	58.9110	8.833	H	-0.08382622	-0.08438159	-0.00055537
144	54.8108	23.7430	51.9110	8.965	H	-0.08726649	-0.08688644	0.00038005
145	54.8108	23.7430	52.6110	8.741	H	-0.08843120	-0.08812988	0.00030132
146	54.8108	23.7430	53.3110	8.569	H	-0.08931657	-0.08910524	0.00021133
147	54.8108	23.7430	54.0110	8.451	H	-0.08990312	-0.08979054	0.00011258
148	54.8108	23.7430	54.7110	8.390	H	-0.09018184	-0.09017363	0.00000822
149	54.8108	23.7430	55.4110	8.388	H	-0.09015404	-0.09025234	-0.00009829
150	54.8108	23.7430	56.1110	8.335	H	-0.08982994	-0.09003341	-0.00020347
151	54.8108	23.7430	56.8110	8.321	H	-0.08922651	-0.08953059	-0.00030409
152	54.8108	23.7430	57.5110	8.366	H	-0.08836530	-0.08876256	-0.00039726
153	54.8108	23.7430	58.2110	8.469	H	-0.08727066	-0.08775126	-0.00048060
154	54.8108	23.7430	58.9110	8.628	H	-0.08596864	-0.08652086	-0.00055221
155	54.8108	23.7430	59.6110	8.839	H	-0.08448632	-0.08509716	-0.00061085
156	55.5108	23.7430	51.9110	8.953	H	-0.08952388	-0.08902951	0.00049437
157	55.5108	23.7430	52.6110	8.729	H	-0.09078199	-0.09036939	0.00041260
158	55.5108	23.7430	53.3110	8.557	H	-0.09173798	-0.09142126	0.00031673
159	55.5108	23.7430	54.0110	8.439	H	-0.09236882	-0.09215938	0.00020944
160	55.5108	23.7430	54.7110	8.378	H	-0.09266335	-0.09256901	0.00009434
161	55.5108	23.7430	55.4110	8.251	H	-0.09262239	-0.09264686	-0.00002447
162	55.5108	23.7430	56.1110	8.177	H	-0.09225740	-0.09240014	-0.00014274
163	55.5108	23.7430	56.8110	8.163	H	-0.09158804	-0.09184451	-0.00025648
164	55.5108	23.7430	57.5110	8.209	H	-0.09063959	-0.09100172	-0.00036213
165	55.5108	23.7430	58.2110	8.314	H	-0.08944074	-0.08989750	-0.00045676
166	55.5108	23.7430	58.9110	8.476	H	-0.08802203	-0.08856011	-0.00053808
167	55.5108	23.7430	59.6110	8.691	H	-0.08641482	-0.08701946	-0.00060464
168	55.5108	23.7430	60.3110	8.955	H	-0.08465071	-0.08530654	-0.00065583
169	56.2108	23.7430	51.9110	8.996	H	-0.09165774	-0.09103518	0.00062256
170	56.2108	23.7430	52.6110	8.773	H	-0.09301102	-0.09247195	0.00053907
171	56.2108	23.7430	53.3110	8.601	H	-0.09403980	-0.09360148	0.00043833
172	56.2108	23.7430	54.0110	8.474	H	-0.09471705	-0.09439392	0.00032313
173	56.2108	23.7430	54.7110	8.285	H	-0.09502897	-0.09483149	0.00019748
174	56.2108	23.7430	55.4110	8.152	H	-0.09497554	-0.09490936	0.00006618
175	56.2108	23.7430	56.1110	8.078	H	-0.09456917	-0.09463492	-0.00006574
176	56.2108	23.7430	56.8110	8.064	H	-0.09383224	-0.09402565	-0.00019341
