idx	x_ang	y_ang	z_ang	shell	V_R	V_TS	Dv
20218	67.2984	37.0592	62.7832	7.7	-0.09360463	-0.09414155	-0.00053692
20219	63.2767	25.0522	45.8853	8.9	-0.07972806	-0.07834467	0.00138340
20220	62.4094	36.3682	43.8073	8.8	-0.08440835	-0.08352441	0.00088394
20221	52.4274	43.3439	56.4024	7.2	-0.09489862	-0.09537791	-0.00047930
20222	62.8310	23.7092	58.6125	7.1	-0.09518475	-0.09491468	0.00027007
20223	62.4770	43.5417	60.9519	7.3	-0.09468955	-0.09522239	-0.00053284
20224	53.9596	21.7395	54.8337	8.8	-0.07639005	-0.07638057	0.00000948
20225	63.4512	44.0164	58.3075	7.2	-0.09572794	-0.09611296	-0.00038502
20226	55.2499	33.7928	66.8888	8.0	-0.08731286	-0.08872102	-0.00140816
20227	69.4542	25.8043	53.3591	8.4	-0.08520839	-0.08395979	0.00124860
20228	48.6257	37.8907	54.3165	7.3	-0.09219467	-0.09278091	-0.00058624
20229	64.7060	30.8187	64.1107	7.1	-0.09855517	-0.09949474	-0.00093957
20230	57.5550	46.4302	57.2681	8.2	-0.08628071	-0.08661924	-0.00033854
20231	62.8932	41.9802	62.5973	7.4	-0.09560975	-0.09628206	-0.00067231
20232	71.0800	29.7529	54.9049	8.0	-0.08915905	-0.08810365	0.00105540
20233	46.5823	29.4910	53.0429	7.9	-0.07379577	-0.07411272	-0.00031695
20234	52.7691	44.5207	59.5762	8.4	-0.08493669	-0.08541933	-0.00048263
20235	64.3645	40.6131	64.2890	8.5	-0.08800624	-0.08866792	-0.00066168
20236	61.7694	34.5933	65.9493	7.2	-0.09744118	-0.09881552	-0.00137434
20237	51.5391	25.6758	59.2577	7.1	-0.08306521	-0.08382600	-0.00076079
20238	68.8525	34.3810	61.0814	7.8	-0.09608934	-0.09625106	-0.00016172
20239	49.0123	31.9404	62.7044	8.5	-0.08143424	-0.08243305	-0.00099881
20240	47.6437	28.4220	50.8455	8.1	-0.07374219	-0.07391390	-0.00017172
20241	54.7832	31.7915	43.6609	8.9	-0.07989556	-0.07929315	0.00060241
20242	62.1918	41.1372	49.5681	7.1	-0.10435123	-0.10411082	0.00024041
20243	66.2004	24.8673	51.9800	7.2	-0.09482114	-0.09304764	0.00177350
20244	67.5208	28.9224	61.3726	7.1	-0.09592369	-0.09594828	-0.00002459
20245	50.4860	25.4876	56.8524	7.1	-0.08079788	-0.08130464	-0.00050676
20246	57.3670	42.9531	50.6911	7.1	-0.10056551	-0.10073464	-0.00016912
20247	52.1138	31.5279	64.2347	7.6	-0.08948898	-0.09096363	-0.00147465
20248	56.4408	34.7433	66.1212	7.0	-0.09625046	-0.09789833	-0.00164787
20249	54.3656	31.1344	65.8032	7.7	-0.08805432	-0.08958973	-0.00153541
20250	47.2414	26.1922	53.3124	8.8	-0.06964934	-0.06988163	-0.00023229
20251	56.1347	27.7110	47.3250	7.0	-0.09636672	-0.09522564	0.00114108
20252	66.9797	25.2440	61.8730	8.9	-0.08135035	-0.08132202	0.00002833
20253	53.2706	40.8550	65.1713	8.7	-0.08248476	-0.08326866	-0.00078390
20254	47.3017	34.9265	56.8933	7.2	-0.08583597	-0.08648578	-0.00064981
20255	54.5194	24.3473	49.9720	7.8	-0.08514743	-0.08463112	0.00051631
20256	69.8882	38.3395	56.2336	8.5	-0.09217704	-0.09194806	0.00022897
20257	63.8527	23.6276	49.9678	7.9	-0.08809654	-0.08653336	0.00156318
20258	56.7979	39.0849	44.7593	8.5	-0.08369308	-0.08336487	0.00032822
20259	58.0464	35.2685	67.5651	8.3	-0.08690723	-0.08816721	-0.00125998
20260	62.2919	31.6694	43.3719	8.5	-0.08381784	-0.08254389	0.00127395
20261	55.5428	26.1328	47.6860	7.7	-0.08880477	-0.08792598	0.00087878
20262	50.0191	38.8291	64.4409	9.0	-0.07880932	-0.07959569	-0.00078637
20263	69.1396	39.2249	57.2551	8.1	-0.09324396	-0.09321029	0.00003367
20264	54.3903	39.0140	65.8654	8.2	-0.08715289	-0.08814990	-0.00099701
20265	62.8626	33.8831	67.4336	8.9	-0.08435263	-0.08533597	-0.00098334
20266	52.3549	29.6417	45.1071	8.7	-0.07746592	-0.07707224	0.00039368
20267	51.8075	38.8496	65.3814	8.7	-0.08169232	-0.08257054	-0.00087822
20268	45.7543	31.7095	57.4851	8.4	-0.07382266	-0.07435232	-0.00052966
20269	48.4373	40.7920	60.6860	8.9	-0.07870359	-0.07929665	-0.00059306
20270	62.0424	38.6644	45.5958	8.0	-0.09078384	-0.09010647	0.00067737
20271	65.3828	41.0659	49.0929	8.7	-0.09131225	-0.09090168	0.00041057
20272	66.1329	40.4640	61.6643	7.6	-0.09397298	-0.09450453	-0.00053156
20273	66.2483	34.5655	44.2745	9.0	-0.08091723	-0.07982998	0.00108725
20274	60.3642	36.0931	43.2752	8.9	-0.08299118	-0.08220512	0.00078605
20275	63.4841	41.9188	48.4735	8.7	-0.09028215	-0.08998162	0.00030053
20276	55.2944	45.6404	57.2008	8.0	-0.08861822	-0.08900112	-0.00038290
20277	58.5344	36.6800	43.4442	8.9	-0.08277505	-0.08214734	0.00062771
20278	46.4926	34.4284	58.8652	8.4	-0.07871657	-0.07936787	-0.00065130
20279	57.8884	29.3185	65.8597	7.6	-0.08985531	-0.09138152	-0.00152621
20280	69.6355	32.7425	60.3248	7.7	-0.09390917	-0.09380455	0.00010461
20281	68.0582	36.8954	48.3340	8.0	-0.09118895	-0.09018915	0.00099981
20282	51.0404	26.4556	47.0993	9.0	-0.07329293	-0.07304651	0.00024642
20283	50.8219	29.9249	63.2086	7.9	-0.08408620	-0.08528233	-0.00119613
20284	67.1068	38.7027	47.6842	8.8	-0.08743171	-0.08669184	0.00073987
20285	57.5807	25.7509	47.9772	7.7	-0.09355016	-0.09224673	0.00130342
20286	56.3467	27.7056	66.2910	9.0	-0.08015590	-0.08131092	-0.00115502
20287	51.1880	44.7158	57.2949	9.0	-0.08065964	-0.08107322	-0.00041358
20288	70.5263	35.1363	52.5237	8.0	-0.09306959	-0.09211193	0.00095765
20289	59.4280	22.2845	52.1819	8.5	-0.08759718	-0.08668656	0.00091063
20290	56.1804	23.2312	58.4486	7.1	-0.08758565	-0.08796095	-0.00037530
20291	64.5173	35.3762	44.0299	8.8	-0.08337029	-0.08233348	0.00103681
