idx	x_ang	y_ang	z_ang	shell	V_R	V_TS	Dv
11941	42.0285	33.1159	57.1143	12.0	-0.05973605	-0.06008106	-0.00034500
11942	54.8441	21.1520	45.3197	13.0	-0.06172113	-0.06128012	0.00044100
11943	63.2569	37.4744	39.8360	13.0	-0.06342629	-0.06290891	0.00051738
11944	59.9027	51.4347	61.6774	14.0	-0.05816020	-0.05838810	-0.00022791
11945	51.2630	19.2906	63.7736	14.0	-0.05524638	-0.05554042	-0.00029404
11946	76.1018	33.8997	56.5383	13.0	-0.06415741	-0.06382732	0.00033009
11947	71.7901	34.4647	53.1274	9.0	-0.08559677	-0.08477769	0.00081908
11948	58.4175	48.0226	51.0019	11.0	-0.07171984	-0.07181907	-0.00009924
11949	48.4165	42.1566	61.6935	10.0	-0.07273699	-0.07326285	-0.00052586
11950	71.2290	45.6007	63.7956	15.0	-0.05724032	-0.05738619	-0.00014587
11951	67.7351	20.1867	62.0849	13.0	-0.06143335	-0.06132998	0.00010337
11952	45.4243	46.3169	57.9858	14.0	-0.05719770	-0.05747784	-0.00028014
11953	45.8176	31.1131	64.4903	12.0	-0.06322046	-0.06381449	-0.00059403
11954	49.7920	40.9837	65.9920	11.0	-0.06854662	-0.06914499	-0.00059837
11955	50.0098	40.5010	42.6261	13.0	-0.06028784	-0.06023481	0.00005303
11956	52.2283	31.7204	68.6379	11.0	-0.06943872	-0.07031962	-0.00088090
11957	69.4977	44.2153	45.2561	15.0	-0.05949117	-0.05922203	0.00026915
11958	44.7548	36.6656	55.0787	10.0	-0.07059587	-0.07100086	-0.00040499
11959	55.6568	45.2334	63.7840	10.0	-0.07607800	-0.07658169	-0.00050368
11960	46.9132	37.3530	62.6563	10.0	-0.07265119	-0.07330478	-0.00065359
11961	43.5006	20.8707	54.2033	15.0	-0.05004407	-0.05015710	-0.00011302
11962	62.3545	43.5683	70.0958	14.0	-0.06044168	-0.06085687	-0.00041518
11963	76.5397	36.8055	61.0294	15.0	-0.05839411	-0.05831604	0.00007807
11964	59.6509	21.9753	64.4626	11.0	-0.06947910	-0.06988528	-0.00040619
11965	53.5640	40.8911	42.3442	12.0	-0.06479436	-0.06465321	0.00014116
11966	49.0175	22.8355	56.2998	10.0	-0.06678376	-0.06703938	-0.00025563
11967	43.7374	41.5800	59.5158	13.0	-0.05995883	-0.06032174	-0.00036291
11968	66.9652	24.4462	45.0699	11.0	-0.06808001	-0.06705562	0.00102439
11969	56.9056	34.8792	39.9747	12.0	-0.06589512	-0.06543034	0.00046478
11970	65.2123	50.7095	50.2466	15.0	-0.05712663	-0.05711485	0.00001178
11971	63.0249	41.4444	40.3399	14.0	-0.06036484	-0.06002229	0.00034255
11972	51.2646	21.3069	44.5710	14.0	-0.05602507	-0.05576707	0.00025800
11973	72.3446	37.1344	45.0574	13.0	-0.06292328	-0.06236346	0.00055982
11974	52.9443	33.4864	37.5414	15.0	-0.05452101	-0.05424937	0.00027165
11975	46.7818	27.3006	67.1451	14.0	-0.05649912	-0.05700143	-0.00050231
11976	49.4406	44.9955	65.5169	13.0	-0.06063277	-0.06105153	-0.00041876
11977	64.1036	29.6284	69.5313	12.0	-0.06808328	-0.06865851	-0.00057523
11978	44.8834	41.9710	51.4993	13.0	-0.06202489	-0.06225497	-0.00023008
11979	50.8976	45.2053	42.9359	15.0	-0.05539378	-0.05538054	0.00001324
11980	61.8362	41.8865	39.1777	15.0	-0.05702746	-0.05673376	0.00029370
11981	47.0806	20.3840	47.1452	15.0	-0.05146475	-0.05138337	0.00008138
11982	72.7927	23.3313	50.6680	13.0	-0.06150076	-0.06081673	0.00068403
11983	67.1360	24.7186	48.3792	9.0	-0.07914331	-0.07776268	0.00138063
11984	54.5798	22.9955	46.2864	11.0	-0.06910557	-0.06859118	0.00051440
11985	64.3765	48.7637	66.5398	15.0	-0.05604685	-0.05630351	-0.00025667
11986	66.5277	29.8555	37.7662	15.0	-0.05448891	-0.05391779	0.00057112
11987	52.1952	48.7303	61.8360	13.0	-0.06185798	-0.06218038	-0.00032241
11988	60.0659	15.0041	57.7998	15.0	-0.05516233	-0.05504785	0.00011448
11989	51.2389	21.8839	52.9833	10.0	-0.06920227	-0.06919960	0.00000267
11990	74.9042	24.3512	47.5093	15.0	-0.05450680	-0.05393790	0.00056890
11991	71.9260	30.8958	67.3227	14.0	-0.06068505	-0.06083284	-0.00014779
11992	52.9007	24.9419	70.8871	15.0	-0.05491459	-0.05540085	-0.00048626
11993	52.5104	50.0126	48.8927	15.0	-0.05680758	-0.05689961	-0.00009203
11994	57.7449	43.8506	40.0638	15.0	-0.05660254	-0.05642548	0.00017706
11995	55.7497	26.6618	72.5984	15.0	-0.05523996	-0.05574090	-0.00050094
11996	71.6723	30.3599	61.3288	10.0	-0.07644885	-0.07629774	0.00015112
11997	69.6032	34.1205	39.0759	15.0	-0.05502932	-0.05450016	0.00052916
11998	57.8288	20.6509	47.2096	12.0	-0.06711398	-0.06649061	0.00062337
11999	73.1126	32.4995	62.9358	12.0	-0.06807686	-0.06805583	0.00002103
12000	70.0870	25.9231	61.0511	10.0	-0.07465461	-0.07442903	0.00022558
12001	71.6373	35.9658	40.8609	15.0	-0.05547414	-0.05497642	0.00049772
12002	62.5439	17.9873	50.1177	13.0	-0.06248433	-0.06191311	0.00057122
12003	58.4842	49.9960	50.4887	13.0	-0.06306960	-0.06314370	-0.00007409
