grid_idx	shell	dV	q
1	7.0	+0.001547	-1.0000
3	7.0	+0.001353	-1.0000
5	7.0	+0.001410	-1.0000
7	8.0	-0.001100	+1.0000
9	8.0	+0.001266	-1.0000
10	7.0	+0.001403	-1.0000
13	7.0	-0.001761	+1.0000
14	7.0	+0.001534	-1.0000
20	7.0	-0.001255	+1.0000
21	7.0	-0.001617	+1.0000
25	7.0	+0.001869	-1.0000
33	7.0	-0.001573	+1.0000
37	8.0	+0.001647	-1.0000
47	8.0	-0.001084	+1.0000
52	7.0	-0.001709	+1.0000
56	8.0	-0.001190	+1.0000
58	8.0	+0.001604	-1.0000
64	7.0	-0.001297	+1.0000
71	8.0	-0.000994	+1.0000
79	7.0	+0.001515	-1.0000
83	8.0	-0.001388	+1.0000
90	7.0	-0.001138	+1.0000
94	8.0	-0.001297	+1.0000
111	8.0	+0.001542	-1.0000
115	7.0	-0.001202	+1.0000
122	8.0	-0.001403	+1.0000
124	8.0	-0.001160	+1.0000
126	8.0	-0.001293	+1.0000
143	8.0	-0.001262	+1.0000
145	7.0	-0.001406	+1.0000
148	7.0	+0.001565	-1.0000
149	7.0	+0.002011	-1.0000
153	7.0	-0.001122	+1.0000
154	7.0	+0.001500	-1.0000
157	7.0	-0.001427	+1.0000
165	8.0	+0.001447	-1.0000
166	7.0	-0.001439	+1.0000
172	8.0	-0.001359	+1.0000
173	8.0	-0.001295	+1.0000
174	7.0	-0.001000	+1.0000
177	8.0	-0.001446	+1.0000
179	7.0	-0.001230	+1.0000
180	7.0	+0.001911	-1.0000
184	7.0	+0.002037	-1.0000
191	8.0	+0.001366	-1.0000
195	7.0	+0.001357	-1.0000
196	7.0	-0.001521	+1.0000
201	7.0	-0.001617	+1.0000
205	8.0	+0.001409	-1.0000
207	7.0	+0.001431	-1.0000
210	8.0	+0.001502	-1.0000
212	8.0	+0.001455	-1.0000
216	8.0	+0.001484	-1.0000
224	7.0	+0.001695	-1.0000
226	7.0	-0.001256	+1.0000
230	8.0	+0.001585	-1.0000
