grid_idx	shell	dV	q
251	8.0	+0.001096	-1.0000
253	8.0	-0.001183	+1.0000
254	8.0	-0.001354	+1.0000
255	7.0	+0.001903	-1.0000
256	8.0	+0.001230	-1.0000
257	8.0	+0.000885	-1.0000
258	8.0	-0.000865	+1.0000
259	8.0	-0.001419	+1.0000
260	8.0	-0.000502	+1.0000
261	8.0	-0.000953	+1.0000
265	7.0	-0.001769	+1.0000
266	8.0	-0.001273	+1.0000
267	8.0	-0.000889	+1.0000
268	8.0	+0.000747	-1.0000
269	8.0	-0.000526	+1.0000
270	8.0	-0.000617	+1.0000
271	7.0	+0.000779	-1.0000
273	7.0	-0.001168	+1.0000
274	8.0	+0.001443	-1.0000
275	7.0	-0.000454	+1.0000
276	8.0	-0.000810	+1.0000
278	7.0	-0.000509	+1.0000
280	8.0	-0.000554	+1.0000
281	8.0	-0.000423	+1.0000
282	8.0	+0.001290	-1.0000
283	7.0	+0.000441	-1.0000
285	8.0	-0.000657	+1.0000
286	7.0	-0.001485	+1.0000
287	8.0	-0.000772	+1.0000
289	8.0	+0.001365	-1.0000
291	7.0	+0.001190	-1.0000
292	8.0	+0.001474	-1.0000
293	8.0	+0.000792	-1.0000
294	7.0	-0.000532	+1.0000
295	8.0	-0.000375	+1.0000
296	8.0	-0.001360	+1.0000
297	8.0	-0.000688	+1.0000
298	7.0	-0.001595	+1.0000
299	8.0	+0.000681	-1.0000
300	8.0	+0.001175	-1.0000
301	7.0	+0.001203	-1.0000
302	8.0	+0.001596	-1.0000
303	7.0	+0.000460	-1.0000
304	8.0	-0.000895	+1.0000
305	8.0	+0.000902	-1.0000
306	7.0	+0.001680	-1.0000
307	8.0	-0.001425	+1.0000
308	7.0	+0.001941	-1.0000
310	8.0	-0.000747	+1.0000
311	7.0	-0.001145	+1.0000
312	8.0	-0.000801	+1.0000
313	8.0	+0.000430	-1.0000
316	8.0	+0.001269	-1.0000
317	8.0	-0.000988	+1.0000
318	8.0	+0.001328	-1.0000
319	7.0	-0.001107	+1.0000
321	7.0	-0.001329	+1.0000
324	8.0	-0.000455	+1.0000
325	8.0	+0.001133	-1.0000
326	8.0	+0.001552	-1.0000
328	7.0	+0.000790	-1.0000
329	8.0	+0.000544	-1.0000
330	8.0	-0.000407	+1.0000
331	7.0	+0.001981	-1.0000
332	8.0	+0.000704	-1.0000
333	8.0	-0.000363	+1.0000
334	8.0	+0.000806	-1.0000
335	7.0	+0.001205	-1.0000
336	8.0	-0.000544	+1.0000
337	8.0	-0.000348	+1.0000
339	8.0	+0.001460	-1.0000
340	7.0	+0.000677	-1.0000
341	8.0	+0.000927	-1.0000
343	8.0	-0.000391	+1.0000
344	7.0	-0.001176	+1.0000
345	8.0	+0.001516	-1.0000
347	8.0	-0.000645	+1.0000
348	8.0	+0.000556	-1.0000
349	7.0	-0.000425	+1.0000
350	8.0	-0.000448	+1.0000
351	8.0	-0.000470	+1.0000
352	8.0	+0.001424	-1.0000
353	7.0	+0.000828	-1.0000
354	8.0	+0.000376	-1.0000
355	7.0	-0.000431	+1.0000
