grid_idx	shell	dV	q
9	4.0	-0.001176	+1.0000
20	3.0	+0.004360	-1.0000
34	3.0	+0.002937	-1.0000
52	2.0	-0.001060	-1.0000
57	2.0	-0.001578	+1.0000
88	2.0	+0.001393	+1.0000
97	2.0	-0.000545	-1.0000
107	2.0	-0.002870	+1.0000
109	4.0	+0.000071	+0.5619
113	2.0	-0.004440	-1.0000
128	4.0	-0.002603	+1.0000
129	2.0	+0.009337	-1.0000
131	2.0	+0.002865	-1.0000
133	4.0	+0.003733	-1.0000
140	4.0	+0.002631	-1.0000
160	2.0	-0.002884	+1.0000
173	2.0	+0.000826	-0.5487
216	3.0	+0.005133	-1.0000
247	3.0	+0.001341	+1.0000
260	2.0	-0.005996	+1.0000
263	3.0	-0.000811	-1.0000
264	3.0	+0.003680	-1.0000
274	2.0	+0.001532	+1.0000
285	2.0	-0.001199	+1.0000
294	4.0	+0.003665	-1.0000
296	2.0	-0.002364	+1.0000
302	3.0	-0.002654	+0.2754
304	2.0	-0.000315	+1.0000
315	2.0	+0.004787	-1.0000
319	2.0	-0.000280	-1.0000
338	2.0	+0.003483	-1.0000
348	4.0	-0.000872	+1.0000
360	3.0	+0.000414	-1.0000
365	3.0	+0.002400	-1.0000
366	2.0	+0.002571	-1.0000
368	2.0	+0.006065	-1.0000
379	2.0	+0.008480	-1.0000
383	2.0	-0.002188	-1.0000
418	2.0	-0.000988	+1.0000
420	4.0	+0.001187	-1.0000
447	2.0	-0.008623	+0.6120
466	2.0	-0.001498	+1.0000
472	4.0	+0.002880	-1.0000
486	2.0	-0.003139	+1.0000
500	3.0	-0.000666	-1.0000
520	2.0	+0.002743	+1.0000
521	2.0	-0.002154	+1.0000
534	3.0	+0.005290	+0.7283
544	2.0	-0.002570	+1.0000
555	2.0	-0.004439	-1.0000
560	4.0	+0.003118	+1.0000
568	2.0	-0.000886	+0.7216
580	2.0	+0.003419	-1.0000
589	2.0	+0.003870	+1.0000
596	2.0	-0.002165	+1.0000
598	4.0	+0.002155	+1.0000
602	2.0	-0.001733	-1.0000
609	2.0	-0.000306	-1.0000
639	3.0	-0.001884	-0.6782
653	3.0	-0.000441	-1.0000
670	3.0	+0.006103	-1.0000
683	3.0	+0.002642	+1.0000
687	2.0	+0.005084	+1.0000
697	3.0	+0.000189	-1.0000
734	3.0	+0.002929	-1.0000
739	3.0	-0.001547	+1.0000
740	2.0	+0.002455	+1.0000
744	2.0	-0.002485	+1.0000
755	3.0	+0.004721	+1.0000
762	3.0	-0.004695	+1.0000
767	3.0	-0.000738	+1.0000
777	2.0	-0.003037	-0.3693
784	2.0	-0.008628	+1.0000
801	2.0	-0.000254	-1.0000
823	2.0	-0.002049	+1.0000
835	2.0	+0.000360	-0.8282
847	4.0	-0.000903	+1.0000
866	2.0	+0.007465	-1.0000
868	2.0	+0.000624	+0.9653
870	3.0	+0.005211	-1.0000
873	2.0	-0.000133	-1.0000
890	2.0	-0.005717	+1.0000
897	3.0	-0.000251	+1.0000
900	2.0	+0.008232	-1.0000
908	4.0	+0.001313	-1.0000
909	3.0	-0.001208	-1.0000
915	4.0	-0.002137	+1.0000
923	4.0	-0.001144	+0.5600
938	3.0	+0.003179	-1.0000
963	2.0	-0.000771	-1.0000
964	4.0	+0.002949	+1.0000
988	2.0	-0.002312	+1.0000
1000	3.0	-0.000897	-1.0000
1003	3.0	-0.000582	+1.0000
1007	4.0	+0.004122	-1.0000
1020	2.0	+0.001446	+1.0000
1022	2.0	+0.006731	+1.0000
1042	4.0	-0.001380	-1.0000
1064	3.0	+0.004774	-1.0000
1095	2.0	+0.006336	+1.0000
1101	2.0	-0.005295	+1.0000
1113	2.0	+0.005050	+1.0000
1122	2.0	-0.001402	+1.0000
1133	2.0	+0.005937	-1.0000
1138	3.0	-0.000973	+1.0000
1146	2.0	-0.002610	+1.0000
1162	2.0	+0.004985	-1.0000
1175	2.0	+0.000125	-1.0000
1190	3.0	-0.001276	+1.0000
1203	2.0	+0.004412	-1.0000
1205	2.0	-0.000134	-1.0000
1212	4.0	+0.003921	-1.0000
1221	3.0	-0.001024	+1.0000
