grid_idx	shell	dV	q
52	2.0	-0.001060	-1.0000
129	2.0	+0.009337	-1.0000
131	2.0	+0.002865	-1.0000
160	2.0	-0.002884	+1.0000
216	3.0	+0.005133	-1.0000
315	2.0	+0.004787	-1.0000
366	2.0	+0.002571	-0.6663
379	2.0	+0.008480	-1.0000
486	2.0	-0.003139	+1.0000
520	2.0	+0.002743	+1.0000
521	2.0	-0.002154	+1.0000
555	2.0	-0.004439	-0.7872
589	2.0	+0.003870	+1.0000
596	2.0	-0.002165	+0.6898
744	2.0	-0.002485	+0.5015
784	2.0	-0.008628	+1.0000
801	2.0	-0.000254	-1.0000
823	2.0	-0.002049	+1.0000
866	2.0	+0.007465	-1.0000
890	2.0	-0.005717	+1.0000
900	2.0	+0.008232	-1.0000
988	2.0	-0.002312	+1.0000
1020	2.0	+0.001446	+1.0000
1095	2.0	+0.006336	+0.7956
1101	2.0	-0.005295	+0.7601
1133	2.0	+0.005937	-0.3941
1162	2.0	+0.004985	-0.8992
1203	2.0	+0.004412	-1.0000
